Hospital Name,City,Staffed Beds,Total Discharges,Patient Days,State
CHRISTUS Mother Frances Hospital - Tyler,Tyler,433,"24,434","113,896",Texas
CHRISTUS Mother Frances Hospital-Sulphur Springs,Sulphur Springs,62,"2,923","10,129",Texas
CHRISTUS Saint Michael Hospital,Texarkana,354,"14,351","62,657",Texas
CHRISTUS Saint Michael Hospital - Atlanta,Atlanta,37,725,"2,524",Texas
CHRISTUS Santa Rosa Hospital Alamo Heights,San Antonio,0,0,0,Texas
CHRISTUS Santa Rosa Hospital - Medical Center,San Antonio,377,"20,679","84,354",Texas
CHRISTUS Santa Rosa Hospital - New Braunfels,New Braunfels,0,0,0,Texas
Christus Santa Rosa Hospital-San Marcos,San Marcos,170,"3,636","13,231",Texas
CHRISTUS Santa Rosa Hospital-Westover Hills,San Antonio,0,0,0,Texas
CHRISTUS Southeast Texas - Saint Elizabeth,Beaumont,370,"16,212","69,313",Texas
CHRISTUS Spohn Hospital Alice,Alice,72,"2,381","7,646",Texas
CHRISTUS Spohn Hospital Beeville,Beeville,40,"1,795","5,206",Texas
CHRISTUS Spohn Hospital Corpus Christi - South,Corpus Christi,0,0,0,Texas
CHRISTUS Spohn Hospital Corpus Christi -Shoreline,Corpus Christi,570,"25,594","138,644",Texas
CHRISTUS Spohn Hospital Kleberg,Kingsville,50,"2,875","10,191",Texas
CHRISTUS Trinity Mother Frances Louis and Peaches Owen Heart Hospital,Tyler,0,0,0,Texas
Citizens Medical Center,Victoria,327,"5,570","27,465",Texas
City Hospital at White Rock,Dallas,187,"6,755","26,564",Texas
Clear Lake Campus Hospital,Webster,149,"5,328","20,622",Texas
Cleveland Emergency Hospital,Cleveland,16,67,271,Texas
Cobalt Rehabilitation El Paso,El Paso,0,0,0,Texas
Columbus Community Hospital,Columbus,40,823,"3,214",Texas
Connally Memorial Medical Center,Floresville,44,830,"3,223",Texas
Cornerstone Regional Hospital,Edinburg,14,490,977,Texas
Corpus Christi Medical Center - Bay Area,Corpus Christi,0,0,0,Texas
Corpus Christi Medical Center - Doctors Regional,Corpus Christi,416,"20,845","101,975",Texas
Corpus Christi Medical Center - Northwest,Corpus Christi,89,"1,936","8,826",Texas
Corpus Christi Medical Center - The Heart Hospital,Corpus Christi,0,0,0,Texas
Covenant Health Levelland,Levelland,48,751,"2,545",Texas
Covenant Health Plainview,Plainview,49,"1,716","6,357",Texas
Covenant Medical Center,Lubbock,380,"18,102","99,720",Texas
Crescent Medical Center Lancaster,Lancaster,84,687,"2,188",Texas
Crockett Medical Center,Crockett,25,341,543,Texas
Dallas Medical Center,Dallas,119,"2,600","10,302",Texas
Dallas Regional Medical Center,Mesquite,202,"7,445","30,693",Texas
Dallas VA Medical Center,Dallas,0,0,0,Texas
Del Sol Medical Center,El Paso,314,"14,214","72,436",Texas
Dell Seton Medical Center at The University of Texas,Austin,0,0,0,Texas
DeTar Hospital Navarro,Victoria,200,"8,483","35,657",Texas
DeTar Hospital North,Victoria,145,"1,496","6,888",Texas
DHR Health,Edinburg,519,"25,921","120,659",Texas
Doctors Hospital of Laredo,Laredo,183,"7,894","39,690",Texas
Eastland Memorial Hospital,Eastland,36,559,"2,098",Texas
Edinburg Regional Medical Center,Edinburg,838,"25,903","125,007",Texas
El Campo Memorial Hospital,El Campo,26,638,"1,847",Texas
El Paso Ltac Hospital,El Paso,33,229,"3,738",Texas
Ennis Regional Medical Center,Ennis,60,646,"1,914",Texas
Faith Community Hospital,Jacksboro,17,239,763,Texas
Falls Community Hospital,Marlin,36,371,"1,207",Texas
First Surgical Hospital,Bellaire,19,476,"1,027",Texas
First Texas Hospital,Houston,12,232,654,Texas
Fort Duncan Regional Medical Center,Eagle Pass,101,"4,130","15,760",Texas
Foundation Surgical Hospital of El Paso,El Paso,40,567,"1,302",Texas
Foundation Surgical Hospital of San Antonio,San Antonio,20,"1,216","2,145",Texas
Freestone Medical Center,Fairfield,37,499,"1,557",Texas
Glen Rose Medical Center,Glen Rose,16,292,858,Texas
Gonzales Memorial Hospital,Gonzales,34,756,"2,265",Texas
Grace Medical Center,Lubbock,92,"1,064","2,804",Texas
Graham Regional Medical Center,Graham,25,633,"1,946",Texas
Guadalupe Regional Medical Center,Seguin,139,"3,693","13,996",Texas
Harlingen Medical Center,Harlingen,112,"6,119","20,258",Texas
HCA Houston Healthcare Clear Lake,Webster,578,"29,895","153,180",Texas
HCA Houston Healthcare Conroe,Conroe,296,"14,401","63,472",Texas
HCA Houston Healthcare Mainland,Texas City,217,"8,463","38,360",Texas
HCA Houston Healthcare North Cypress,Cypress,139,"8,653","35,720",Texas
HCA Houston Healthcare Northwest,Houston,312,"15,465","69,055",Texas
HCA Houston Healthcare Pearland,Pearland,49,"2,574","9,425",Texas
HCA Houston Healthcare Southeast,Pasadena,270,"11,980","66,188",Texas
HCA Houston Healthcare Tomball,Tomball,241,"8,438","40,788",Texas
HCA Houston Healthcare West,Houston,256,"11,650","60,807",Texas
Heart Hospital of Austin,Austin,58,"4,104","13,646",Texas
Hemphill County Hospital,Canadian,15,213,263,Texas
Hendrick Medical Center,Abilene,386,"16,025","75,009",Texas
Hereford Regional Medical Center,Hereford,30,569,"1,583",Texas
Hill Country Memorial Hospital,Fredericksburg,57,"2,186","7,626",Texas
Hill Regional Hospital,Hillsboro,25,817,"2,234",Texas
Houston Methodist Baytown Hospital,Baytown,218,"12,906","58,078",Texas
Houston Methodist Clear Lake Hospital,Nassau Bay,178,"6,672","26,567",Texas
Houston Methodist Hospital,Houston,"1,043","36,931","239,898",Texas
Houston Methodist Sugar Land Hospital,Sugar Land,347,"16,995","81,221",Texas
Houston Methodist The Woodlands Hospital,The Woodlands,146,"7,808","26,721",Texas
Houston Methodist West Hospital,Houston,193,"11,827","47,997",Texas
Houston Methodist Willowbrook Hospital,Houston,313,"18,255","83,797",Texas
Houston Physicians' Hospital,Webster,21,701,"1,562",Texas
Hunt Regional Medical Center at Greenville,Greenville,161,"5,624","27,433",Texas
Huntsville Memorial Hospital,Huntsville,96,"4,374","20,254",Texas
John Peter Smith Hospital,Fort Worth,562,"26,775","143,347",Texas
Kell West Regional Hospital,Wichita Falls,41,"1,169","3,371",Texas
Kerrville VA Hospital,Kerrville,0,0,0,Texas
Knapp Medical Center,Weslaco,186,"8,523","35,407",Texas
Knox County Hospital,Knox City,28,96,277,Texas
Lake Granbury Medical Center,Granbury,48,"3,245","11,835",Texas
Lamb Healthcare Center,Littlefield,42,320,"1,132",Texas
Laredo Medical Center,Laredo,302,"13,484","72,875",Texas
Las Palmas Medical Center,El Paso,559,"25,244","123,888",Texas
Legent Orthopedic and Spine,San Antonio,26,127,221,Texas
Longview Regional Medical Center,Longview,224,"10,115","48,343",Texas
Lubbock Heart Hospital,Lubbock,73,"2,595","8,801",Texas
Lyndon B. Johnson Hospital,Houston,0,0,0,Texas
Matagorda Regional Medical Center,Bay City,58,"1,219","6,047",Texas
Mayhill Hospital,Denton,59,0,0,Texas
McAllen Medical Center,McAllen,542,"23,215","119,662",Texas
Medical Arts Hospital,Lamesa,22,305,"1,099",Texas
Medical Center Hospital,Odessa,353,"13,688","71,266",Texas
Medical City Alliance,Fort Worth,75,"4,241","17,279",Texas
Medical City Arlington,Arlington,351,"17,979","90,963",Texas
Medical City Dallas,Dallas,793,"30,537","193,230",Texas
Medical City Denton,Denton,185,"9,442","45,950",Texas
Medical City Fort Worth,Fort Worth,218,"9,488","49,978",Texas
Medical City Frisco,Frisco,0,0,0,Texas
Medical City Las Colinas,Irving,80,"6,002","23,115",Texas
Medical City Lewisville,Lewisville,156,"6,565","28,330",Texas
Medical City McKinney,McKinney,234,"9,924","46,922",Texas
Medical City Plano,Plano,461,"23,262","132,295",Texas
Medical City Weatherford,Weatherford,82,"5,286","19,869",Texas
Memorial Hermann - Texas Medical Center,Houston,"1,014","45,540","264,792",Texas
Memorial Hermann Cypress Hospital,Cypress,0,0,0,Texas
Memorial Hermann Greater Heights Hospital,Houston,0,0,0,Texas
Memorial Hermann Katy Hospital,Katy,208,"12,800","41,723",Texas
Memorial Hermann Memorial City Medical Center,Houston,444,"23,043","90,692",Texas
Memorial Hermann Northeast Hospital,Humble,255,"13,644","55,954",Texas
Memorial Hermann Orthopedic & Spine Hospital,Bellaire,64,"1,680","4,307",Texas
Memorial Hermann Pearland Hospital,Pearland,0,0,0,Texas
Memorial Hermann Southeast Hospital,Houston,0,0,0,Texas
Memorial Hermann Southwest Hospital,Houston,"1,388","80,012","331,391",Texas
Memorial Hermann Sugar Land Hospital,Sugar Land,145,"9,875","28,799",Texas
Memorial Hermann Surgical Hospital First Colony,Sugar Land,7,116,444,Texas
Memorial Hermann Surgical Hospital Kingwood,Kingwood,10,354,766,Texas
Memorial Hermann Surgical Hospital-First Colony,Sugar Land,6,475,852,Texas
Memorial Hermann The Woodlands Medical Center,The Woodlands,0,0,0,Texas
Memorial Hermann Tomball,Tomball,15,149,518,Texas
Methodist Ambulatory Surgery Hospital,San Antonio,22,459,939,Texas
Methodist Charlton Medical Center,Dallas,317,"13,736","71,017",Texas
Methodist Children's Hospital,San Antonio,198,"7,602","31,427",Texas
Methodist Dallas Medical Center,Dallas,378,"15,989","85,653",Texas
Methodist Hospital,San Antonio,"1,637","83,063","439,847",Texas
Methodist Hospital for Surgery,Addison,32,"2,543","7,527",Texas
Methodist Hospital South,Jourdanton,67,"1,711","5,288",Texas
Methodist Mansfield Medical Center,Mansfield,254,"11,807","56,707",Texas
Methodist McKinney Hospital,McKinney,23,"1,290","2,719",Texas
Methodist Richardson Medical Center,Richardson,223,"11,297","52,067",Texas
Methodist Southlake Hospital,Southlake,0,0,0,Texas
Methodist Specialty and Transplant Hospital,San Antonio,217,"8,551","40,895",Texas
Methodist Stone Oak Hospital,San Antonio,242,"12,864","60,682",Texas
Methodist Texsan Hospital,San Antonio,120,"2,749","11,069",Texas
Metropolitan Methodist Hospital,San Antonio,279,"11,451","44,364",Texas
Michael E. DeBakey VA Medical Center,Houston,0,0,0,Texas
Midland Memorial Hospital,Midland,228,"11,050","49,889",Texas
Mission Regional Medical Center,Mission,297,"8,654","39,297",Texas
Mission Trail Baptist Hospital,San Antonio,0,0,0,Texas
Nacogdoches Medical Center,Nacogdoches,155,"4,294","15,995",Texas
Nacogdoches Memorial Hospital,Nacogdoches,141,"3,973","14,314",Texas
Navarro Regional Hospital,Corsicana,49,"2,309","6,807",Texas
Nocona General Hospital,Nocona,18,353,"1,251",Texas
North Central Baptist Hospital,San Antonio,0,0,0,Texas
North Central Surgical Center,Dallas,24,"1,430","2,990",Texas
North Texas Medical Center,Gainesville,36,"1,047","4,229",Texas
Northeast Baptist Hospital,San Antonio,0,0,0,Texas
Northeast Methodist Hospital,San Antonio,116,"5,418","23,435",Texas
Northwest Hills Surgical Hospital,Austin,8,515,626,Texas
Northwest Texas Healthcare System,Amarillo,444,"15,488","71,290",Texas
Northwest Texas Surgical Hospital,Amarillo,4,175,248,Texas
OakBend Medical Center,Richmond,188,"5,421","23,319",Texas
Odessa Regional Medical Center,Odessa,206,"6,288","32,907",Texas
Palestine Regional Medical Center,Palestine,152,"3,425","19,191",Texas
Palo Pinto General Hospital,Mineral Wells,48,"1,342","4,366",Texas
Pampa Regional Medical Center,Pampa,110,"1,514","4,849",Texas
Panhandle Surgical Hospital,Amarillo,0,0,0,Texas
Paris Regional Medical Center,Paris,253,"6,611","21,479",Texas
Parkland Hospital,Dallas,807,"51,475","240,788",Texas
Parkview Regional Hospital,Mexia,58,523,"1,631",Texas
Permian Regional Medical Center,Andrews,30,764,"1,947",Texas
Peterson Regional Medical Center,Kerrville,110,"3,497","11,343",Texas
Providence Hospital of North Houston,Houston,16,274,959,Texas
Quail Creek Surgical Hospital,Amarillo,32,"2,251","4,071",Texas
Resolute Health Hospital,New Braunfels,112,"4,420","17,191",Texas
Rio Grande Regional Hospital,McAllen,320,"15,560","69,219",Texas
Rolling Plains Memorial Hospital,Sweetwater,39,967,"3,783",Texas
SageCrest Hospital of Carrollton,Carrollton,18,573,"1,716",Texas
Saint Camillus Medical Center,Hurst,23,139,287,Texas
Saint David's Georgetown Hospital,Georgetown,96,"4,471","11,943",Texas
Saint David's Medical Center,Austin,588,"26,462","130,982",Texas
Saint David's North Austin Medical Center,Austin,393,"22,544","117,386",Texas
Saint David's Round Rock Medical Center,Round Rock,169,"9,782","44,148",Texas
Saint David's South Austin Medical Center,Austin,299,"19,649","98,035",Texas
Saint Joseph Medical Center,Houston,378,"11,587","54,519",Texas
Saint Joseph Medical Center in The Heights,Houston,0,0,0,Texas
Saint Luke's Baptist Hospital,San Antonio,0,0,0,Texas
Saint Mark's Medical Center,La Grange,38,967,"3,079",Texas
San Angelo Community Medical Center,San Angelo,131,"4,151","17,362",Texas
San Antonio Military Medical Center North - Brooke Army Medical Center,Fort Sam Houston,0,0,0,Texas
Scenic Mountain Medical Center,Big Spring,92,"2,489","8,065",Texas
Seton Medical Center Harker Heights,Harker Heights,66,"4,415","10,865",Texas
Seymour Hospital,Seymour,27,271,"1,026",Texas
Shannon Medical Center,San Angelo,369,"13,409","58,353",Texas
South Texas Spine & Surgical Hospital,San Antonio,30,"1,467","2,969",Texas
South Texas Surgical Hospital,Corpus Christi,33,849,"1,986",Texas
Southwest General Hospital,San Antonio,225,"9,637","40,575",Texas
Starr County Memorial Hospital,Rio Grande City,48,"1,010","3,431",Texas
Stephens Memorial Hospital,Breckenridge,14,298,875,Texas
Surgery Specialty Hospitals of America,Pasadena,37,121,244,Texas
Texas Emergency Hospital,Cleveland,107,"17,128","17,679",Texas
Texas Health Allen,Allen,44,"3,380","9,382",Texas
Texas Health Alliance,Fort Worth,101,"6,567","25,611",Texas
Texas Health Arlington Medical Hospital,Arlington,229,"11,410","57,333",Texas
Texas Health Azle,Azle,31,"1,546","5,121",Texas
Texas Health Center for Diagnostics & Surgery,Plano,18,567,"1,022",Texas
Texas Health Cleburne,Cleburne,109,"3,296","11,404",Texas
Texas Health Dallas,Dallas,629,"25,050","134,103",Texas
Texas Health Denton,Denton,196,"10,568","45,895",Texas
Texas Health Fort Worth,Fort Worth,662,"37,380","201,424",Texas
Texas Health Harris Methodist Hospital Southlake,Southlake,17,778,"1,360",Texas
Texas Health Heart & Vascular Hospital Arlington,Arlington,47,"1,042","4,794",Texas
Texas Health HEB,Bedford,249,"11,317","48,379",Texas
Texas Health Huguley Hospital Fort Worth South,Burleson,213,"10,669","48,604",Texas
Texas Health Kaufman,Kaufman,63,"1,343","3,645",Texas
Texas Health Plano,Plano,369,"20,384","81,514",Texas
Texas Health Presbyterian Hospital Flower Mound,Flower Mound,99,"8,321","22,787",Texas
Texas Health Southwest,Fort Worth,245,"14,554","53,609",Texas
Texas Health Stephenville,Stephenville,50,"1,751","5,529",Texas
Texas Institute for Surgery,Dallas,9,560,"1,139",Texas
Texas Orthopedic Hospital,Houston,49,"3,717","7,436",Texas
Texoma Medical Center,Denison,378,"19,430","89,322",Texas
The Hospital at Westlake Medical Center,West Lake Hills,23,816,"1,959",Texas
The Hospitals of Providence East Campus,El Paso,182,"12,879","58,354",Texas
The Hospitals of Providence Horizon City Campus,Horizon City,9,234,421,Texas
The Hospitals of Providence Memorial Campus,El Paso,320,"15,171","64,399",Texas
The Hospitals of Providence Sierra Campus,El Paso,258,"7,477","34,944",Texas
The Hospitals of Providence Transmountain Campus,El Paso,106,"4,389","17,609",Texas
The Medical Center of Southeast Texas,Port Arthur,216,"7,687","33,668",Texas
The Physicians Centre Hospital,Bryan,16,268,536,Texas
The University of Texas M. D. Anderson Cancer Center,Houston,674,"28,962","206,720",Texas
The University of Texas Medical Branch Galveston Campus,Galveston,561,"32,396","143,799",Texas
The Woman's Hospital of Texas,Houston,257,"14,055","112,999",Texas
Thomas E. Creek VA Medical Center,Amarillo,0,0,0,Texas
Titus Regional Medical Center,Mount Pleasant,70,"2,890","11,219",Texas
TOPS Surgical Specialty Hospital,Houston,16,640,"1,270",Texas
Townsen Memorial Hospital,Humble,0,0,0,Texas
Tyler County Hospital,Woodville,25,305,861,Texas
United Memorial Medical Center,Houston,97,982,"8,096",Texas
United Regional Eleventh Street Campus,Wichita Falls,250,"14,853","64,220",Texas
University Hospital,San Antonio,633,"29,631","174,087",Texas
University Medical Center,Lubbock,476,"20,784","120,762",Texas
University Medical Center of El Paso,El Paso,271,"16,034","77,691",Texas
USMD Hospital at Arlington,Arlington,34,"1,351","4,453",Texas
USMD Hospital at Fort Worth,Fort Worth,8,201,413,Texas
UT Health Athens,Athens,127,"5,862","18,240",Texas
UT Health Carthage,Carthage,42,691,"2,008",Texas
UT Health Henderson,Henderson,41,"1,519","4,575",Texas
UT Health Jacksonville,Jacksonville,32,"1,345","3,276",Texas
UT Health North Campus Tyler,Tyler,130,"1,047","4,919",Texas
UT Health Tyler,Tyler,339,"22,114","112,935",Texas
Val Verde Regional Medical Center,Del Rio,47,"1,222","7,817",Texas
Valley Baptist Medical Center - Harlingen,Harlingen,404,"16,907","78,044",Texas
Valley Baptist Micro Hospital- Weslaco,Weslaco,0,0,0,Texas
Valley Regional Medical Center,Brownsville,214,"9,006","46,947",Texas
VBMC - Brownsville,Brownsville,243,"9,346","40,851",Texas
Wadley Regional Medical Center,Texarkana,199,"6,086","29,094",Texas
West Texas VA Health Care System,Big Spring,0,0,0,Texas
Wilbarger General Hospital,Vernon,47,701,"2,551",Texas
William Beaumont Army Medical Center,El Paso,0,0,0,Texas
William P. Clements Jr. University Hospital,Dallas,459,"22,342","128,380",Texas
Wilson N. Jones Regional Medical Center,Sherman,226,"4,958","21,648",Texas
Wise Health Surgical Hospital at Argyle,Argyle,0,0,0,Texas
Wise Health Surgical Hospital at Parkway,Fort Worth,36,370,"1,039",Texas
Wise Regional Health System East Campus,Decatur,116,"5,148","20,377",Texas
Women's Memorial Hermann Memorial City Hospital,Houston,0,0,0,Texas
Woodland Heights Medical Center,Lufkin,145,"5,666","23,998",Texas
Zale Lipshy Pavilion-William P. Clements Jr. University Hospital,Dallas,148,"4,843","24,247",Texas
